SOURCE_ID;DATASET_ID;LATITUDE;LONGITUDE;CRS;COUNTRY;STATE;BIOME;SAMPLE_DATE;SAMPLE_YEAR;DEPTH_TOP_CM;DEPTH_BOTTOM_CM;LAYER_THICKNESS_CM;CARBON_CONTENT_G_KG;CARBON_ANALYSIS_METHOD;BULK_DENSITY_G_CM3;COARSE_FRAGMENTS_FRACTION;CARBON_STOCK_KG_M2;CARBON_STOCK_Mg_ha;TARGET_VALUE;TARGET_UNIT;STOCK_CALCULATION_METHOD;ORIGINAL_TARGET_KIND;ORIGINAL_TARGET_VALUE;ORIGINAL_TARGET_UNIT;QUALITY_FLAG;DUPLICATE_GROUP_ID;DUPLICATE_STATUS;DUPLICATE_RESOLUTION
soildata_dataset;doi:10.60502/SoilData/R91CFI;-23.8;-54.1;EPSG:4326;Brazil;MS;Mata Atlântica;;2019;5;10;5;2.3;Oxidação úmida - Yeomans-Bremner (1988);1.43392;0.101683;0.148133;1.481332;1.481332;Mg/ha;estimated_from_carbon_fraction_mean_bulk_density_state_depth;carbon_fraction:c_ah;2.3;g/kg;ok;dup-000863;active;kept_by_priority:soildata_dataset
soildata_dataset;doi:10.60502/SoilData/R91CFI;-23.8;-54.1;EPSG:4326;Brazil;MS;Mata Atlântica;;2019;5;10;5;6.39;Oxidação úmida - Yeomans-Bremner (1988);1.43392;0.101683;0.411553;4.115527;4.115527;Mg/ha;estimated_from_carbon_fraction_mean_bulk_density_state_depth;carbon_fraction:c_hum;6.39;g/kg;ok;dup-000864;active;kept_by_priority:soildata_dataset
soildata_dataset;doi:10.60502/SoilData/R91CFI;-23.8;-54.1;EPSG:4326;Brazil;MS;Mata Atlântica;;2019;5;10;5;4.300858;Oxidação úmida - Yeomans-Bremner (1988);1.43392;0.101683;0.277;2.77;2.77;Mg/ha;existing_mg_ha_with_back_calculated_carbon_content_estimated_bulk_density_state_depth;carbon_stock:estc_af;2.77;Mg/ha;ok;dup-000867;active;kept_by_priority:soildata_dataset
soildata_dataset;doi:10.60502/SoilData/R91CFI;-23.8;-54.1;EPSG:4326;Brazil;MS;Mata Atlântica;;2019;5;10;5;5.01508;Oxidação úmida - Yeomans-Bremner (1988);1.43392;0.101683;0.323;3.23;3.23;Mg/ha;existing_mg_ha_with_back_calculated_carbon_content_estimated_bulk_density_state_depth;carbon_stock:estc_ah;3.23;Mg/ha;ok;dup-000868;active;kept_by_priority:soildata_dataset
soildata_dataset;doi:10.60502/SoilData/R91CFI;-23.8;-54.1;EPSG:4326;Brazil;MS;Mata Atlântica;;2019;5;10;5;12.343618;Oxidação úmida - Yeomans-Bremner (1988);1.43392;0.101683;0.795;7.95;7.95;Mg/ha;existing_mg_ha_with_back_calculated_carbon_content_estimated_bulk_density_state_depth;carbon_stock:estc_hum;7.95;Mg/ha;ok;dup-000869;active;kept_by_priority:soildata_dataset
soildata_dataset;doi:10.60502/SoilData/R91CFI;-23.8;-54.1;EPSG:4326;Brazil;MS;Mata Atlântica;;2019;5;10;5;2.89;Oxidação úmida - Yeomans-Bremner (1988);1.43392;0.101683;0.186133;1.861326;1.861326;Mg/ha;estimated_from_carbon_fraction_mean_bulk_density_state_depth;carbon_fraction:c_mop;2.89;g/kg;ok;dup-000866;active;kept_by_priority:soildata_dataset
soildata_dataset;doi:10.60502/SoilData/R91CFI;-23.8;-54.1;EPSG:4326;Brazil;MS;Mata Atlântica;;2019;5;10;5;10.7;Oxidação úmida - Yeomans-Bremner (1988);1.43392;0.101683;0.689142;6.891415;6.891415;Mg/ha;estimated_from_carbon_fraction_mean_bulk_density_state_depth;carbon_fraction:c_mom;10.7;g/kg;ok;dup-000865;active;kept_by_priority:soildata_dataset
soildata_dataset;doi:10.60502/SoilData/R91CFI;-23.8;-54.1;EPSG:4326;Brazil;MS;Mata Atlântica;;2019;10;20;10;1.39;Oxidação úmida - Yeomans-Bremner (1988);1.43392;0.101683;0.179048;1.79048;1.79048;Mg/ha;estimated_from_carbon_fraction_mean_bulk_density_state_depth;carbon_fraction:c_af;1.39;g/kg;ok;dup-000854;active;kept_by_priority:soildata_dataset
soildata_dataset;doi:10.60502/SoilData/R91CFI;-23.8;-54.1;EPSG:4326;Brazil;MS;Mata Atlântica;;2019;10;20;10;2.57;Oxidação úmida - Yeomans-Bremner (1988);1.43392;0.101683;0.331046;3.310456;3.310456;Mg/ha;estimated_from_carbon_fraction_mean_bulk_density_state_depth;carbon_fraction:c_ah;2.57;g/kg;ok;dup-000855;active;kept_by_priority:soildata_dataset
soildata_dataset;doi:10.60502/SoilData/R91CFI;-23.8;-54.1;EPSG:4326;Brazil;MS;Mata Atlântica;;2019;10;20;10;5.3;Oxidação úmida - Yeomans-Bremner (1988);1.43392;0.101683;0.682701;6.82701;6.82701;Mg/ha;estimated_from_carbon_fraction_mean_bulk_density_state_depth;carbon_fraction:c_hum;5.3;g/kg;ok;dup-000856;active;kept_by_priority:soildata_dataset
soildata_dataset;doi:10.60502/SoilData/R91CFI;-23.8;-54.1;EPSG:4326;Brazil;MS;Mata Atlântica;;2019;10;20;10;1.374101;Oxidação úmida - Yeomans-Bremner (1988);1.43392;0.101683;0.177;1.77;1.77;Mg/ha;existing_mg_ha_with_back_calculated_carbon_content_estimated_bulk_density_state_depth;carbon_stock:estc_af;1.77;Mg/ha;ok;dup-000859;active;kept_by_priority:soildata_dataset
soildata_dataset;doi:10.60502/SoilData/R91CFI;-23.8;-54.1;EPSG:4326;Brazil;MS;Mata Atlântica;;2019;10;20;10;2.546356;Oxidação úmida - Yeomans-Bremner (1988);1.43392;0.101683;0.328;3.28;3.28;Mg/ha;existing_mg_ha_with_back_calculated_carbon_content_estimated_bulk_density_state_depth;carbon_stock:estc_ah;3.28;Mg/ha;ok;dup-000860;active;kept_by_priority:soildata_dataset
soildata_dataset;doi:10.60502/SoilData/R91CFI;-23.8;-54.1;EPSG:4326;Brazil;MS;Mata Atlântica;;2019;10;20;10;5.255742;Oxidação úmida - Yeomans-Bremner (1988);1.43392;0.101683;0.677;6.77;6.77;Mg/ha;existing_mg_ha_with_back_calculated_carbon_content_estimated_bulk_density_state_depth;carbon_stock:estc_hum;6.77;Mg/ha;ok;dup-000861;active;kept_by_priority:soildata_dataset
soildata_dataset;doi:10.60502/SoilData/R91CFI;-23.8;-54.1;EPSG:4326;Brazil;MS;Mata Atlântica;;2019;10;20;10;2.41;Oxidação úmida - Yeomans-Bremner (1988);1.43392;0.101683;0.310436;3.104357;3.104357;Mg/ha;estimated_from_carbon_fraction_mean_bulk_density_state_depth;carbon_fraction:c_mop;2.41;g/kg;ok;dup-000858;active;kept_by_priority:soildata_dataset
soildata_dataset;doi:10.60502/SoilData/R91CFI;-23.8;-54.1;EPSG:4326;Brazil;MS;Mata Atlântica;;2019;10;20;10;7.79;Oxidação úmida - Yeomans-Bremner (1988);1.43392;0.101683;1.003442;10.034416;10.034416;Mg/ha;estimated_from_carbon_fraction_mean_bulk_density_state_depth;carbon_fraction:c_mom;7.79;g/kg;ok;dup-000857;active;kept_by_priority:soildata_dataset
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.348825;-53.664029;EPSG:4326;Brazil;RS;Pampa;;;0;5;5;15.289791;Oxidação úmida - Walkley-Black (1934);1.147522;0.163885;0.733498;7.334977;7.334977;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;15.289791;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.348825;-53.664029;EPSG:4326;Brazil;RS;Pampa;;;5;10;5;11.280992;Oxidação úmida - Walkley-Black (1934);1.511677;0.163885;0.712923;7.129228;7.129228;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;11.280992;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.348825;-53.664029;EPSG:4326;Brazil;RS;Pampa;;;10;20;10;9.168892;Oxidação úmida - Walkley-Black (1934);1.629127;0.163885;1.24893;12.489297;12.489297;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;9.168892;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.348825;-53.664029;EPSG:4326;Brazil;RS;Pampa;;;20;40;20;9.578019;Oxidação úmida - Walkley-Black (1934);1.521812;0.050833;2.767;27.670001;27.670001;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;9.578019;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.348825;-53.664029;EPSG:4326;Brazil;RS;Pampa;;;40;60;20;8.781643;Oxidação úmida - Walkley-Black (1934);1.382548;0.050833;2.304775;23.047747;23.047747;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;8.781643;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.355601;-53.660333;EPSG:4326;Brazil;RS;Pampa;;;0;5;5;13.186687;Oxidação úmida - Walkley-Black (1934);1.509431;0.163885;0.832118;8.321185;8.321185;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;13.186687;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.355601;-53.660333;EPSG:4326;Brazil;RS;Pampa;;;5;10;5;9.105221;Oxidação úmida - Walkley-Black (1934);1.602737;0.163885;0.610083;6.100831;6.100831;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;9.105221;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.355601;-53.660333;EPSG:4326;Brazil;RS;Pampa;;;10;20;10;7.591279;Oxidação úmida - Walkley-Black (1934);1.659771;0.163885;1.053487;10.534874;10.534874;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;7.591279;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.355601;-53.660333;EPSG:4326;Brazil;RS;Pampa;;;20;40;20;7.743062;Oxidação úmida - Walkley-Black (1934);1.531414;0.050833;2.251012;22.510121;22.510121;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;7.743062;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.355601;-53.660333;EPSG:4326;Brazil;RS;Pampa;;;40;60;20;7.211314;Oxidação úmida - Walkley-Black (1934);1.540313;0.050833;2.108608;21.086081;21.086081;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;7.211314;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.347782;-53.66118;EPSG:4326;Brazil;RS;Pampa;;;0;5;5;17.153068;Oxidação úmida - Walkley-Black (1934);1.484262;0.163885;1.06436;10.643601;10.643601;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;17.153068;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.347782;-53.66118;EPSG:4326;Brazil;RS;Pampa;;;5;10;5;13.363484;Oxidação úmida - Walkley-Black (1934);1.555726;0.163885;0.869139;8.691386;8.691386;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;13.363484;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.347782;-53.66118;EPSG:4326;Brazil;RS;Pampa;;;10;20;10;10.776936;Oxidação úmida - Walkley-Black (1934);1.522009;0.163885;1.371446;13.714461;13.714461;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;10.776936;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.347782;-53.66118;EPSG:4326;Brazil;RS;Pampa;;;20;40;20;11.336465;Oxidação úmida - Walkley-Black (1934);1.40964;0.050833;3.0336;30.336002;30.336002;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;11.336465;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.347782;-53.66118;EPSG:4326;Brazil;RS;Pampa;;;40;60;20;11.080285;Oxidação úmida - Walkley-Black (1934);1.258458;0.050833;2.64705;26.470499;26.470499;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;11.080285;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.348611;-53.66078;EPSG:4326;Brazil;RS;Pampa;;;0;5;5;12.19066;Oxidação úmida - Walkley-Black (1934);1.442038;0.163885;0.73492;7.349201;7.349201;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;12.19066;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.348611;-53.66078;EPSG:4326;Brazil;RS;Pampa;;;5;10;5;10.373465;Oxidação úmida - Walkley-Black (1934);1.555642;0.163885;0.674636;6.746363;6.746363;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;10.373465;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.348611;-53.66078;EPSG:4326;Brazil;RS;Pampa;;;10;20;10;22.289286;Oxidação úmida - Walkley-Black (1934);1.609054;0.163885;2.9987;29.986997;29.986997;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;22.289286;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.348611;-53.66078;EPSG:4326;Brazil;RS;Pampa;;;20;40;20;9.486961;Oxidação úmida - Walkley-Black (1934);1.473131;0.050833;2.653023;26.530226;26.530226;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;9.486961;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.348611;-53.66078;EPSG:4326;Brazil;RS;Pampa;;;40;60;20;9.695911;Oxidação úmida - Walkley-Black (1934);1.375951;0.050833;2.532585;25.325852;25.325852;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;9.695911;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.351567;-53.659539;EPSG:4326;Brazil;RS;Pampa;;;0;5;5;13.194908;Oxidação úmida - Walkley-Black (1934);1.558099;0.163885;0.859484;8.594837;8.594837;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;13.194908;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.351567;-53.659539;EPSG:4326;Brazil;RS;Pampa;;;5;10;5;8.078657;Oxidação úmida - Walkley-Black (1934);1.600744;0.163885;0.540626;5.406264;5.406264;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;8.078657;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.351567;-53.659539;EPSG:4326;Brazil;RS;Pampa;;;10;20;10;7.067777;Oxidação úmida - Walkley-Black (1934);1.669709;0.163885;0.986711;9.867107;9.867107;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;7.067777;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.351567;-53.659539;EPSG:4326;Brazil;RS;Pampa;;;20;40;20;7.647774;Oxidação úmida - Walkley-Black (1934);1.622151;0.050833;2.355043;23.550428;23.550428;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;7.647774;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.351567;-53.659539;EPSG:4326;Brazil;RS;Pampa;;;40;60;20;8.743246;Oxidação úmida - Walkley-Black (1934);1.526262;0.050833;2.533228;25.332279;25.332279;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;8.743246;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.353908;-53.658415;EPSG:4326;Brazil;RS;Pampa;;;0;5;5;10.668688;Oxidação úmida - Walkley-Black (1934);1.647783;0.163885;0.734932;7.349321;7.349321;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;10.668688;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.353908;-53.658415;EPSG:4326;Brazil;RS;Pampa;;;5;10;5;8.012783;Oxidação úmida - Walkley-Black (1934);1.621617;0.163885;0.54321;5.432102;5.432102;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;8.012783;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.353908;-53.658415;EPSG:4326;Brazil;RS;Pampa;;;10;20;10;7.429039;Oxidação úmida - Walkley-Black (1934);1.64002;0.163885;1.018704;10.187039;10.187039;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;7.429039;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.353908;-53.658415;EPSG:4326;Brazil;RS;Pampa;;;20;40;20;6.877142;Oxidação úmida - Walkley-Black (1934);1.571111;0.050833;2.051102;20.511024;20.511024;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;6.877142;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.353908;-53.658415;EPSG:4326;Brazil;RS;Pampa;;;40;60;20;6.313511;Oxidação úmida - Walkley-Black (1934);1.446249;0.050833;1.733351;17.333509;17.333509;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;6.313511;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.349658;-53.658017;EPSG:4326;Brazil;RS;Pampa;;;0;5;5;11.378764;Oxidação úmida - Walkley-Black (1934);1.532438;0.163885;0.728978;7.289777;7.289777;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;11.378764;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.349658;-53.658017;EPSG:4326;Brazil;RS;Pampa;;;5;10;5;9.515351;Oxidação úmida - Walkley-Black (1934);1.54218;0.163885;0.613474;6.134739;6.134739;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;9.515351;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.349658;-53.658017;EPSG:4326;Brazil;RS;Pampa;;;10;20;10;8.141963;Oxidação úmida - Walkley-Black (1934);1.455935;0.163885;0.991145;9.911453;9.911453;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;8.141963;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.349658;-53.658017;EPSG:4326;Brazil;RS;Pampa;;;20;40;20;6.647841;Oxidação úmida - Walkley-Black (1934);1.407198;0.050833;1.775858;17.758583;17.758583;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;6.647841;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.349658;-53.658017;EPSG:4326;Brazil;RS;Pampa;;;40;60;20;7.008374;Oxidação úmida - Walkley-Black (1934);1.495464;0.050833;1.9896;19.895997;19.895997;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;7.008374;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.350457;-53.65777;EPSG:4326;Brazil;RS;Pampa;;;0;5;5;11.459693;Oxidação úmida - Walkley-Black (1934);1.531091;0.163885;0.733517;7.33517;7.33517;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;11.459693;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.350457;-53.65777;EPSG:4326;Brazil;RS;Pampa;;;5;10;5;8.363718;Oxidação úmida - Walkley-Black (1934);1.639992;0.163885;0.573426;5.734259;5.734259;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;8.363718;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.350457;-53.65777;EPSG:4326;Brazil;RS;Pampa;;;10;20;10;9.17429;Oxidação úmida - Walkley-Black (1934);1.552077;0.163885;1.190562;11.905618;11.905618;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;9.17429;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.350457;-53.65777;EPSG:4326;Brazil;RS;Pampa;;;20;40;20;8.900971;Oxidação úmida - Walkley-Black (1934);1.44288;0.050833;2.438036;24.380358;24.380358;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;8.900971;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.350457;-53.65777;EPSG:4326;Brazil;RS;Pampa;;;40;60;20;8.612888;Oxidação úmida - Walkley-Black (1934);1.31618;0.050833;2.151972;21.519717;21.519717;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;8.612888;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.35393;-53.656388;EPSG:4326;Brazil;RS;Pampa;;;0;5;5;22.285101;Oxidação úmida - Walkley-Black (1934);1.410763;0.163885;1.314331;13.143314;13.143314;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;22.285101;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.35393;-53.656388;EPSG:4326;Brazil;RS;Pampa;;;5;10;5;16.490037;Oxidação úmida - Walkley-Black (1934);1.475573;0.163885;1.017229;10.172286;10.172286;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;16.490037;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.35393;-53.656388;EPSG:4326;Brazil;RS;Pampa;;;10;20;10;11.715139;Oxidação úmida - Walkley-Black (1934);1.451162;0.163885;1.421443;14.214433;14.214433;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;11.715139;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.35393;-53.656388;EPSG:4326;Brazil;RS;Pampa;;;20;40;20;9.80136;Oxidação úmida - Walkley-Black (1934);1.539696;0.050833;2.864797;28.647966;28.647966;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;9.80136;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.35393;-53.656388;EPSG:4326;Brazil;RS;Pampa;;;40;60;20;9.000317;Oxidação úmida - Walkley-Black (1934);1.517643;0.050833;2.592984;25.929844;25.929844;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;9.000317;g/kg;ok;;active;unique
soildata_dataset;doi:10.60502/SoilData/FBSGZZ;-29.346673;-53.657064;EPSG:4326;Brazil;RS;Pampa;;;0;5;5;15.845144;Oxidação úmida - Walkley-Black (1934);1.438894;0.163885;0.95315;9.531499;9.531499;Mg/ha;computed_from_carbon_content_bulk_density_depth;carbon_content;15.845144;g/kg;ok;;active;unique
